Date,Open,High,Low,Close,Volume,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,ret_250d,vol_5d,vol_20d,vol_60d,vol_120d,range_pct,atr_14,sma_20,sma_50,sma_200,price_to_sma20,price_to_sma50,price_to_sma200,drawdown_60d,drawdown_250d,rsi_14,zscore_20,zscore_60,vol_ratio_5_20,vol_change_5d,oc_ratio,hl_ratio
2000-01-03,32.638575312969046,34.294681815567195,32.109709509286674,34.11940002441406,1637610,,,,,,,,,,,0.06403900141025543,,,,,,,,,,,,,,,0.6777315668538195,
2000-01-04,34.44577729223027,34.44577729223027,32.75945079019604,33.29738235473633,837330,-0.024092383485335045,,,,,,,,,,0.050644416551091385,,,,,,,,,,,,,,,-0.6810039036322946,0.049424271846151446
2000-01-05,31.73194369941615,33.363872693663296,31.429734711802663,31.910245895385746,854660,-0.04165902426120505,,,,,,,,,,0.060611816913022025,,,,,,,,,,,,,,,0.09218690533971181,0.058086787761726724
2000-01-06,32.034161466146976,33.97434314498058,32.034161466146976,32.977054595947266,1328510,0.03343154120651204,,,,,,,,,,0.0588342925893704,,,,,,,,,,,,,,,0.4859818723302852,0.060801213666427927
2000-01-07,32.63856659593083,35.61532429192545,32.63856659593083,35.606258392333984,3353820,0.07972827860465848,,,,,,,,,,0.08360209217140066,,,,,,,,,,,,,,,0.9969544348291414,0.09026754306797444
2000-01-10,37.77612185027515,37.95442403868613,34.9958002043635,35.92055892944336,1858870,0.008827114987657536,0.05278987625047571,,,,,0.04805105269278831,,,,0.08236575160576094,,,,,,,,,,,,,,,-0.6271709478690491,0.08309280356622982
2000-01-11,34.75403396830409,35.23756789281573,33.04957544335578,34.2584114074707,1527270,-0.046272874685427734,0.028862000096463225,,,,,0.05290767537980711,,,,0.06386730614668318,,,,,,,,,,,,,,,-0.22651931851525675,0.06091198229286186
2000-01-12,35.35845936917731,35.588138896137934,34.14962315142766,34.75101852416992,410470,0.014379158182209029,0.08902384012010867,,,,,0.04548836620725212,,,,0.04139492325123537,,,,,,,,,,,,,,,-0.4222691639061901,0.0419901474006053
2000-01-13,35.90242680056267,35.90242680056267,33.605636768525194,33.75069808959961,472060,-0.028785355855816763,0.023460054366026384,,,,,0.04862004304964017,,,,0.06805163039709812,,,,,,,,,,,,,,,-0.9368417102045029,0.06609273999954912
2000-01-14,33.847405308050256,33.847405308050256,32.69901027711566,33.20370101928711,372820,-0.016206985374357608,-0.06747570459591301,,,,,0.02544953943505069,,,,0.03458635620973467,,,,,,,,,,,,,,-0.42067766443291443,-0.56052513796932,0.03402581564049118
2000-01-17,33.545202126268634,34.27050425499801,33.24299309810405,33.6993293762207,530120,0.014926900969433943,-0.06183727701970576,,,,,0.026899010946148418,,,,0.03049055206478387,,,,,,,,,,,,,,-0.597635910260786,0.15000055952479502,0.030945681515958272
2000-01-18,33.30343785160934,33.3457469360153,32.336369771369945,32.508628845214844,783580,-0.035333063091933625,-0.05107599828386333,,,,,0.023710052089698556,,,,0.03104951517492053,,,,,,,,,,,,,,-0.7120909367004628,-0.7874251829339702,0.02995244069627111
2000-01-19,33.2429884592551,33.539154280023965,32.124816133348794,32.51466369628906,789520,0.00018563843781138623,-0.06435364840674918,,,,,0.020688110826204413,,,,0.043498470717277964,,,,,,,,,,,,,,-0.6523032360177098,-0.5149580102386455,0.043506545705429105
2000-01-20,32.608356917098604,32.699018248586825,31.550625243364824,31.68359565734864,443590,-0.025559791935823473,-0.06124621264909347,,,,,0.02011688608756935,,,,0.03624566534813875,0.059859939923015845,,,,,,,,,40.21369972213516,,,,-0.61697161951016,-0.8052654861987245,0.03531923368326484
2000-01-21,31.73798878688886,32.57813176010188,31.32094118876548,32.10970687866211,430100,0.013448954024087856,-0.03294795781920601,,,,,0.022893154660554742,,,,0.03915297564338227,0.05700170405123603,,,,,,,,,42.19299039456138,,,,-0.35863052597334044,0.295673621240553,0.03967954221271635
2000-01-24,32.18525243680581,32.336356908340115,31.56572318124668,31.67451858520508,436020,-0.013553169298665346,-0.06008460193407861,,,,,0.019536628970912226,,,,0.024329769212448053,0.055719911800406086,,,,,,,,,43.500356407097925,,,,-0.12978078569401763,-0.662745253701247,0.02400002373131429
2000-01-25,31.43577166755376,31.6714965680937,29.6769157992968,29.90659523010254,1211950,-0.05581531887680613,-0.08004132156731414,,,,,0.026511871297611865,,,,0.06669367587485357,0.059165363645141404,,,,,,,,,42.21280769175299,,,,0.28887331893112234,-0.7666655839196418,0.06297114708883228
2000-01-26,29.90659523010254,29.90659523010254,29.90659523010254,29.90659523010254,0,0.0,-0.08021206956183846,,,,,0.026483199540356557,,,,0.0,0.05423549728309559,,,,,,,,,36.987627904086104,,,,0.12315728774464918,0.0,0.0
2000-01-27,30.22089992341068,30.22089992341068,29.193388864880376,29.66181373596192,1713620,-0.008184866657580336,-0.06381163120663014,,,,,0.026100908917540477,,,,0.03464087084076563,0.049989092874490666,,,,,,,,,18.42699474798893,,,,0.1341094590752938,-0.544116948782309,0.034357339932031494
