Date,Open,High,Low,Close,Volume,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,ret_250d,vol_5d,vol_20d,vol_60d,vol_120d,range_pct,atr_14,sma_20,sma_50,sma_200,price_to_sma20,price_to_sma50,price_to_sma200,drawdown_60d,drawdown_250d,rsi_14,zscore_20,zscore_60,vol_ratio_5_20,vol_change_5d,oc_ratio,hl_ratio
2000-01-02,207.4,217.25,207.4,216.75,676126,,,,,,,,,,,0.045444059976931926,,,,,,,,,,,,,,,0.949238577716509,
2000-01-03,217.0,219.0,206.0,208.2,679215,-0.03944636678200697,,,,,,,,,,0.062439961575408265,,,,,,,,,,,,,,,-0.6769230764023677,0.05997693194925029
2000-01-04,204.0,215.0,203.5,212.35,3470,0.019932756964457177,,,,,,,,,,0.054155874735107135,,,,,,,,,,,,,,,0.7260869558903587,0.05523535062439962
2000-01-05,215.0,229.9,215.0,222.1,1968998,0.045914763362373545,,,,,,,,,,0.06708689779378661,,,,,,,,,,,,,,,0.476510066794288,0.07016717683070406
2000-01-06,224.0,239.9,223.1,239.9,2199431,0.08014407924358413,,,,,,,,,,0.07002917882451026,,,,,,,,,,,,,,,0.9464285708652207,0.07564160288158492
2000-01-09,259.0,259.1,248.0,258.85,1720542,0.07899124635264698,0.1942329873125721,,,,,0.04959694941945054,,,,0.04288197797952491,,,,,,,,,,,,,,,-0.0135135135013371,0.04626927886619434
2000-01-10,260.0,260.0,238.15,238.15,1207916,-0.0799690940699247,0.14385206532180606,,,,,0.06587379808017971,,,,0.09174889775351666,,,,,,,,,,,,,,,-0.9999999995423341,0.08441182151825379
2000-01-11,239.9,240.0,230.9,240.0,1950,0.0077682133109384655,0.13020955968919234,,,,,0.06651404861629762,,,,0.03791666666666664,,,,,,,,,,,,,,,0.010989010976934534,0.038211211421373056
2000-01-12,243.0,245.0,231.6,235.45,565754,-0.01895833333333341,0.06010805943268793,,,,,0.06810535889027843,,,,0.05691229560416227,,,,,,,,,,,,,,,-0.5634328354004239,0.05583333333333336
2000-01-13,234.95,243.0,233.0,239.05,1024725,0.015289870460819754,-0.0035431429762400324,,,,,0.05763303616616002,,,,0.041832252666806104,,,,,,,,,,,,,,-0.18207152213401256,0.4099999995900022,0.042471862391165856
2000-01-16,250.0,250.0,250.0,250.0,40000,0.04580631667015256,-0.03418968514583742,,,,,0.047344643875431386,,,,0.0,,,,,,,,,,,,,,-0.5677885452312172,0.0,0.0
2000-01-17,251.0,252.5,245.05,248.0,792347,-0.008000000000000007,0.0413604870879698,,,,,0.024822059918121458,,,,0.030040322580645117,,,,,,,,,,,,,,-0.6584994247472344,-0.4026845632178737,0.029799999999999955
2000-01-18,251.0,257.9,242.6,250.5,1221042,0.010080645161290258,0.043749999999999956,,,,,0.02482932472503232,,,,0.06107784431137718,,,,,,,,,,,,,,-0.4866950741367917,-0.03267973854073223,0.0616935483870967
2000-01-19,250.0,250.0,233.6,235.7,557949,-0.059081836327345316,0.0010617965597792267,,,,,0.0386811574861827,,,,0.06957997454391178,0.05874598460512759,,,,,,,,,57.88597579605462,,,,-0.3616006270110944,-0.8719512189805179,0.06546906187624753
2000-01-20,230.1,233.8,225.5,232.2,696339,-0.014849384811200683,-0.028655093076762284,,,,,0.03820780345121056,,,,0.0357450473729544,0.05973914113448997,,,,,,,,,56.24747264153137,,,,-0.2683566300153045,0.25301204788793624,0.035214255409418804
2000-01-23,230.0,235.9,213.65,213.65,1125168,-0.07988802756244606,-0.14539999999999997,,,,,0.0375964200653884,,,,0.10414228879007723,0.06801845474908896,,,,,,,,,52.038907539951765,,,,0.5465885306186395,-0.7348314603438957,0.09582256675279932
2000-01-24,200.35,204.9,196.6,196.6,706121,-0.07980341680318281,-0.20725806451612905,,,,,0.04052549299340821,,,,0.042217700915564656,0.07593373056241826,,,,,,,,,44.62640732686662,,,,0.7760894202186099,-0.4518072283713159,0.03884858413292774
