Date,Close,High,Low,Open,Volume
2000-01-03,2.638094425201416,2.6561014571884733,2.6119837027928337,2.638094425201416,0
2000-01-04,2.7101247310638428,2.735334836320762,2.638094993574654,2.656102029441297,5211144
2000-01-05,2.7353341579437256,2.845180141891751,2.716426822793545,2.7281317279487354,10935257
2000-01-06,2.845180034637451,2.8703901326917944,2.710123956775929,2.728131625106791,12992505
2000-01-07,2.945122003555298,2.9802364023073675,2.868590123016884,2.8703904118183887,29907138
2000-01-10,2.95412540435791,3.0162505054420174,2.941519877071037,2.9802361250420133,24075339
2000-01-11,2.8307743072509766,2.976634671865343,2.813667260905313,2.9586270029716646,15187275
2000-01-12,2.782154083251953,2.881195476640675,2.7551433737904447,2.7956599161894253,8315929
2000-01-13,2.7461395263671875,2.7911579092280223,2.7443385997700562,2.7731502372791925,5734983
2000-01-14,2.7020211219787598,2.764147191544406,2.6993202102964236,2.7371358430895816,4757500
2000-01-17,2.760545492172241,2.760545492172241,2.6660059376330074,2.7002200340003273,3524315
2000-01-18,2.80466365814209,2.831674368237911,2.733534232805898,2.773150153482759,4070565
2000-01-19,2.933417558670044,2.99644329804546,2.8181694084482243,2.8181694084482243,21084545
2000-01-20,2.933417558670044,2.9802368706316322,2.890199143681784,2.931616313172097,10525379
2000-01-21,2.9397196769714355,2.970331917173598,2.901003427834457,2.9352172018264153,14152488
2000-01-24,3.0243546962738037,3.0927825651223992,2.948723440824292,2.9577264785587407,23266439
2000-01-25,2.9424209594726562,3.0792776667307025,2.9397200478928514,3.0612699955095892,9829385
2000-01-26,2.9415202140808105,3.236842821740657,2.912708578938087,3.236842821740657,28213708
2000-01-27,2.8766932487487793,2.960428518240633,2.8379769961974013,2.9442214553550214,34035542
2000-01-28,2.997342824935913,3.0072471211174077,2.7911570380078845,2.8811947320390505,36969805
2000-01-31,2.997342824935913,3.0072471211174077,2.7911570380078845,2.8811947320390505,0
2000-02-01,2.997342824935913,3.0072471211174077,2.7911570380078845,2.8811947320390505,0
2000-02-02,2.997342824935913,3.0072471211174077,2.7911570380078845,2.8811947320390505,0
2000-02-03,2.997342824935913,3.0072471211174077,2.7911570380078845,2.8811947320390505,0
2000-02-04,2.997342824935913,3.0072471211174077,2.7911570380078845,2.8811947320390505,0
2000-02-07,2.997342824935913,3.0072471211174077,2.7911570380078845,2.8811947320390505,0
2000-02-08,2.997342824935913,3.0072471211174077,2.7911570380078845,2.8811947320390505,0
2000-02-09,2.997342824935913,3.0072471211174077,2.7911570380078845,2.8811947320390505,0
2000-02-10,2.997342824935913,3.0072471211174077,2.7911570380078845,2.8811947320390505,0
