Strategy,IC_mean,Rank_IC_mean,ICIR,Rank_ICIR,Ann_Return_Net,Sharpe_Net,Max_Drawdown,Win_Rate,Avg_Turnover
HMM-GP Alpha (Ours),0.0128,0.0242,0.0548,0.1025,6.42%,0.3420,-27.03%,53.6%,61.90%
Vanilla GP,0.0369,0.0473,0.1727,0.2176,-2.58%,-0.1195,-45.41%,48.8%,73.94%
Momentum (12-1M),0.0408,0.0518,0.1234,0.1723,6.44%,0.2263,-50.01%,58.3%,25.20%
Mean Reversion,-0.0283,-0.0272,-0.1181,-0.1089,1.33%,0.0612,-43.82%,48.8%,81.55%
Trend (200-DMA),0.0234,0.0163,0.0715,0.0544,3.23%,0.1119,-61.31%,56.0%,31.35%
