Date,Close,High,Low,Open,Volume,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,ret_250d,vol_5d,vol_20d,vol_60d,vol_120d,range_pct,atr_14,sma_20,sma_50,sma_200,price_to_sma20,price_to_sma50,price_to_sma200,drawdown_60d,drawdown_250d,rsi_14,zscore_20,zscore_60,vol_ratio_5_20,vol_change_5d,oc_ratio,hl_ratio
2010-07-15,1.1805905103683472,1.2025345505050855,1.1805905103683472,1.2025345505050855,4039725100,,,,,,,,,,,0.018587342473125372,,,,,,,,,,,,,,,-0.9999995442956091,
2010-07-16,1.1805905103683472,1.184979318395695,1.1762017023409994,1.184979318395695,1378955100,0.0,,,,,,,,,,0.0074349369892503,,,,,,,,,,,,,,,-0.49999943036990085,0.0074349369892503
2010-07-19,1.1893680095672607,1.1893680095672607,1.1762015867788227,1.1762015867788227,72996505,0.007434838008459899,,,,,,,,,,0.011070099987999942,,,,,,,,,,,,,,,0.9999992404928381,0.011152404388148175
2010-07-20,1.1893680095672607,1.1893680095672607,1.1805903943749687,1.1849792019711147,844226057,0.0,,,,,,,,,,0.007380066658666628,,,,,,,,,,,,,,,0.49999943036984484,0.007380066658666628
2010-07-21,1.1893680095672607,1.1893680095672607,1.1805903943749687,1.1849792019711147,622094317,0.0,,,,,,,,,,0.007380066658666628,,,,,,,,,,,,,,,0.49999943036984484,0.007380066658666628
2010-07-22,1.198145627975464,1.2069232431913155,1.1805903975437604,1.1849792051516863,1065122571,0.007380069362549202,0.014869776991210726,,,,,0.004057275684673196,,,,0.021978000864594702,,,,,,,,,,,,,,,0.4999998101231463,0.022140200035425578
2010-07-23,1.233256220817566,1.2464226450503677,1.198145756196762,1.198145756196762,719041122,0.029304111305258562,0.044609633896504075,,,,,0.012033033881857154,,,,0.039145870937996555,,,,,,,,,,,,,,,0.7272725766266077,0.04029300589710489
2010-07-26,1.2288676500320437,1.2464228857323292,1.2157012232568292,1.2420340768072575,704693876,-0.0035585231288052244,0.03321061281878146,,,,,0.013289070815589464,,,,0.024999976583889177,,,,,,,,,,,,,,,-0.42857128907008035,0.024911013588995817
2010-07-27,1.2200900316238403,1.2288676494699684,1.2157012227007762,1.2244788405469045,384483985,-0.007142850906665554,0.025830543456232258,,,,,0.014507399155443333,,,,0.010791356726084203,,,,,,,,,,,,,,,-0.33333308016436153,0.010714275673909143
2010-07-28,1.2464226484298706,1.2508114565193706,1.2200897998928697,1.2200897998928697,796917138,0.0215825194235737,0.04797055108567161,,,,,0.015733665062756606,,,,0.024647864562796003,,,,,,,,,,,,,,-0.4725121826973391,0.8571425781401395,0.025179827578472164
2010-07-29,1.242034077644348,1.2639782269219535,1.2332564597882896,1.2464228865723774,894588395,-0.003520933120920944,0.036630313247516755,,,,,0.016820834814524573,,,,0.024735043656717602,,,,,,,,,,,,,,-0.12142157346678095,-0.14285660978968545,0.02464795322225924
