Strategy,IC_mean,Rank_IC_mean,ICIR,Rank_ICIR,Ann_Return_Net,Sharpe_Net,Max_Drawdown,Win_Rate,Avg_Turnover
HMM-GP Alpha (Ours),0.0313,0.0220,0.1553,0.0937,14.66%,0.6746,-34.02%,55.2%,54.83%
Vanilla GP,0.0659,0.0432,0.3062,0.2204,23.63%,1.3669,-14.47%,65.5%,38.56%
Momentum (12-1M),0.0413,0.0134,0.1407,0.0475,-0.11%,-0.0044,-47.14%,50.6%,25.69%
Mean Reversion,0.0202,0.0249,0.0979,0.1152,12.40%,0.7453,-16.62%,60.9%,79.71%
Trend (200-DMA),0.0178,0.0064,0.0579,0.0230,-1.03%,-0.0395,-40.53%,55.2%,32.07%
