Price,Close,High,Low,Open,Volume
Ticker,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS
Date,,,,,
2000-01-03,34.11940002441406,34.294681815567195,32.109709509286674,32.638575312969046,1637610
2000-01-04,33.29738235473633,34.44577729223027,32.75945079019604,34.44577729223027,837330
2000-01-05,31.910245895385742,33.363872693663296,31.429734711802663,31.73194369941615,854660
2000-01-06,32.977054595947266,33.97434314498058,32.034161466146976,32.034161466146976,1328510
2000-01-07,35.606258392333984,35.61532429192545,32.63856659593083,32.63856659593083,3353820
2000-01-10,35.92055892944336,37.95442403868613,34.9958002043635,37.77612185027515,1858870
2000-01-11,34.2584114074707,35.23756789281573,33.04957544335578,34.75403396830409,1527270
2000-01-12,34.75101852416992,35.588138896137934,34.14962315142766,35.35845936917731,410470
2000-01-13,33.75069808959961,35.90242680056267,33.605636768525194,35.90242680056267,472060
2000-01-14,33.20370101928711,33.847405308050256,32.69901027711566,33.847405308050256,372820
2000-01-17,33.6993293762207,34.27050425499801,33.24299309810405,33.545202126268634,530120
2000-01-18,32.508628845214844,33.3457469360153,32.336369771369945,33.30343785160934,783580
2000-01-19,32.51466369628906,33.539154280023965,32.124816133348794,33.2429884592551,789520
2000-01-20,31.683595657348633,32.699018248586825,31.550625243364824,32.608356917098604,443590
2000-01-21,32.10970687866211,32.578131760101876,31.320941188765474,31.73798878688886,430100
2000-01-24,31.674518585205078,32.336356908340115,31.565723181246682,32.18525243680581,436020
2000-01-25,29.90659523010254,31.6714965680937,29.6769157992968,31.435771667553762,1211950
2000-01-26,29.90659523010254,29.90659523010254,29.90659523010254,29.90659523010254,0
2000-01-27,29.661813735961914,30.220899923410677,29.193388864880376,30.220899923410677,1713620
2000-01-28,29.967052459716797,31.06709328902763,29.803859285389734,29.918697901839643,1842680
2000-01-31,29.148052215576172,29.737361049666326,28.830734202454984,29.676917876449455,873570
2000-02-01,28.389514923095703,29.55604187735127,28.138680893326317,29.314273748906025,901120
2000-02-02,26.482572555541992,29.61648056358791,26.1259658606107,29.61648056358791,2163590
2000-02-03,25.85700035095215,27.077924942717114,25.518527759033834,26.518838774419237,2588490
2000-02-04,27.92713165283203,27.92713165283203,27.132320596677822,27.1383660671734,1446730
2000-02-07,30.163471221923828,30.163471221923828,28.407638154648083,29.97912359838147,1921900
2000-02-08,30.891807556152344,32.57813450459115,30.643996242650978,32.33636635722165,2340810
2000-02-09,33.36387252807617,33.36387252807617,32.57812962531512,32.6385705002692,1022560
2000-02-10,35.66972732543945,36.03539993285747,32.765498697855385,34.45182544400194,4443300
2000-02-11,33.5995979309082,35.902431424475424,33.303432085670515,33.84740922766963,1798570
2000-02-14,32.84408187866211,33.968299989983535,32.11273648131335,33.968299989983535,1108600
2000-02-15,32.792701721191406,34.98976030322731,32.10064278205449,32.3363654510142,2245110
2000-02-16,33.871585845947266,34.929317363827806,33.72652450899951,34.14961757728608,1164040
2000-02-17,33.81114196777344,34.880962100587986,33.315519394018224,34.47600314877381,572990
2000-02-18,35.019981384277344,36.482674280821705,34.14962021244454,34.39138835745627,3356990
2000-02-21,35.99611282348633,37.17170560491151,34.51831105340333,35.95984691480561,1758160
2000-02-22,33.632835388183594,35.96286618985408,33.31853779354128,35.96286618985408,1093190
2000-02-23,31.771230697631836,35.721102155549495,31.429735364577734,35.177127349950176,1151330
2000-02-24,30.429420471191406,32.53883768968839,29.320311852047414,32.53883768968839,1026010
2000-02-25,30.58657455444336,31.852831082619076,29.924736064625986,30.220901917917182,530710
2000-02-28,32.940792083740234,33.03447616744761,31.852839778806242,32.63253981451671,1848900
2000-02-29,30.435466766357422,33.786965626981676,30.305516809881663,33.54519751541277,1838950
2000-03-01,29.320314407348633,30.997575179042478,28.724964649812257,30.997575179042478,1109310
2000-03-02,26.975175857543945,29.828027236145452,26.975175857543945,29.828027236145452,1545850
2000-03-03,25.077301025390625,26.292180054806966,24.817401130050314,25.687762122512552,1545830
2000-03-06,25.902334213256836,26.53395224902765,25.14378894545729,25.56688202455819,840840
2000-03-07,24.9805965423584,25.989973475256434,23.844290079712614,25.512482711535874,1565080
2000-03-08,25.503419876098633,25.983933433103232,24.243208773428332,25.38555853876526,671100
2000-03-09,25.177034378051758,26.896604553020584,23.934955039520307,25.869093356152813,857240
2000-03-10,23.641807556152344,25.234447733968494,23.270089527132622,24.84157517033278,905660
2000-03-13,23.170364379882812,24.53937083434295,22.72611676365736,23.87451193069361,439440
2000-03-14,25.013837814331055,25.025926450962764,21.75904791199124,22.66567490832421,1216950
2000-03-15,25.331161499023438,26.23174544768668,24.78114114152381,26.23174544768668,753460
2000-03-16,24.935260772705078,25.687760402435526,24.36106331433991,25.687760402435526,704780
2000-03-17,24.935260772705078,24.935260772705078,24.935260772705078,24.935260772705078,0
2000-03-20,24.935260772705078,24.935260772705078,24.935260772705078,24.935260772705078,0
2000-03-21,24.409420013427734,25.143787978600663,23.753627034158093,24.569592720834518,850590
2000-03-22,24.327823638916016,25.385555101477582,22.982994558784952,24.539369009159685,683960
2000-03-23,24.18880844116211,24.7811377996937,23.874510807021977,24.66025373953647,418640
2000-03-24,24.324800491333008,24.599811773662246,23.69620755654195,24.176718734671184,271310
2000-03-27,24.279470443725586,24.660254437005538,24.055836424796226,24.388265870377,442280
2000-03-28,23.780826568603516,24.660253545630805,23.270092628932787,24.660253545630805,851600
2000-03-29,23.883581161499023,24.59981744930466,23.81407437027639,24.17672431269802,331500
2000-03-30,23.7506046295166,24.116279555070257,23.15525482559641,23.451418359735342,397210
2000-03-31,23.230812072753906,23.874516562693387,22.84700526215188,23.451423402979565,821540
2000-04-03,22.275827407836914,24.176722490318866,21.789270683265492,24.176722490318866,1049040
2000-04-04,20.888683319091797,22.06125320747482,20.4958107643614,21.45683531137962,1701100
2000-04-05,20.48674964904785,21.759049340764722,20.26311562085588,21.523326675147267,2119240
2000-04-06,20.519994735717773,20.85242422601255,19.885356198669193,20.791983338930606,933100
2000-04-07,22.164012908935547,22.164012908935547,20.84638343609531,20.84638343609531,1844810
2000-04-10,22.484346389770508,23.41817094056825,21.9403693563253,23.41817094056825,1467250
2000-04-11,22.808921813964844,23.03561466875098,22.17232294057593,22.35864450427007,713220
2000-04-12,22.302749633789062,22.855504678230663,22.048109589634816,22.669183099201994,630790
2000-04-13,21.277976989746094,21.737572420516837,20.80596217392326,21.737572420516837,1316410
2000-04-14,21.277976989746094,21.277976989746094,21.277976989746094,21.277976989746094,0
2000-04-17,21.59782600402832,22.731282936206593,19.62591747000541,20.18488323022956,2360340
2000-04-18,22.48596954345703,22.979721890092048,21.684784076516962,22.35864832549497,1372560
2000-04-19,22.116432189941406,22.979724150579095,21.73757689919644,22.66918733773343,1325680
2000-04-20,21.712730407714844,21.86178909988921,21.427037147688804,21.48914355405706,1408250
2000-04-21,21.712730407714844,21.712730407714844,21.712730407714844,21.712730407714844,0
2000-04-24,21.588512420654297,22.04500179269013,21.116497633647477,21.799677491759063,1193410
