Year,Sector,Fundamental_Score_FF,Annual_Sentiment_Norm,Fusion_Score_Norm
2005,FMCG,-1.9153287041556823,0.893380102330667,-0.8224342817975233
2006,FMCG,-2.6494362667645595,0.8141750557678216,-1.0006591690548403
2007,FMCG,1.1566339190322616,1.0275956118036011,0.3363248453417607
2008,FMCG,-0.5084585722028809,-0.6211876563603133,-0.012423102529501953
2009,FMCG,-0.6277312208160595,2.290798947057124,-0.7132944526225544
2010,FMCG,-2.203390857984741,0.40690389973324753,-0.4969263184926748
2011,FMCG,-1.0386814497593915,-0.30539379800422717,-0.011880148212249725
2012,FMCG,1.0455469286278536,1.7638239077762377,0.5983177597632757
2013,FMCG,2.1839962362959158,-0.8006473293875462,-0.837417631402411
2014,FMCG,2.587073125975608,-1.1609601771488058,-1.3388892579240235
2015,FMCG,2.913037125904241,-0.40986778403010565,-0.6157693491719672
2016,FMCG,2.211786936515498,0.05340201595277675,-0.09144125034584995
2017,FMCG,2.0055436084887757,-0.18797719973285734,-0.28929615737469866
2018,FMCG,1.0195381068393163,-0.19244937075860716,-0.21705045348616175
2019,FMCG,1.028355886548637,-1.5441331263680105,-0.7732021034141658
2020,FMCG,1.0883999230435166,0.130842170767008,-0.08173264500205313
2021,FMCG,-2.4167215820326686,-0.8454867998632205,0.677899856036181
2022,FMCG,-2.936297590624891,-0.12105570919602013,0.003404718660058736
2023,FMCG,-1.7900015682593795,-0.3384479732050661,0.10345575322986839
2024,FMCG,-1.3654197971437965,-0.05111226035155596,-0.11075245620177493
2025,FMCG,0.21155581247243407,0.1120093197372345,-0.12917222681658794
2005,Pharma,,0.893380102330667,
2006,Pharma,,0.8141750557678216,
2007,Pharma,7.225552245879189,1.0275956118036011,2.828498795665335
2008,Pharma,3.066111903671463,-0.6211876563603133,-0.8997660450439109
2009,Pharma,0.2679944985679078,2.290798947057124,0.10669230263197296
2010,Pharma,2.390831882929238,0.40690389973324753,0.25012204299942425
2011,Pharma,1.9238187283490737,-0.30539379800422717,-0.3734260278345189
2012,Pharma,3.641714301541234,1.7638239077762377,2.4282404020360264
2013,Pharma,3.985014115503352,-0.8006473293875462,-1.4136585602430616
2014,Pharma,2.4334431215795567,-1.1609601771488058,-1.2676141006655408
2015,Pharma,-0.5366392840283097,-0.40986778403010565,-0.05074526398544681
2016,Pharma,-3.0376025448157273,0.05340201595277675,-0.2034652996862518
2017,Pharma,-4.460340686611332,-0.18797719973285734,0.19641482425340825
2018,Pharma,-8.320611314791604,-0.19244937075860716,0.501264880876187
2019,Pharma,-5.877718762397798,-1.5441331263680105,3.488281547769731
2020,Pharma,-4.779162483579543,0.130842170767008,-0.3885290571384545
2021,Pharma,-4.199412505717147,-0.8454867998632205,1.2802204371728818
2022,Pharma,-0.6012194249727321,-0.12105570919602013,-0.10955705882916092
2023,Pharma,1.4458496254907298,-0.3384479732050661,-0.33419257869576735
2024,Pharma,2.7876724135456423,-0.05111226035155596,-0.1955808960021709
2025,Pharma,2.6447041698568197,0.1120093197372345,-0.020262274462788478
