Date,Close,High,Low,Open,Volume
2008-03-19,12.41617488861084,15.163116235648635,12.086541926966303,13.075440811899911,708486000
2008-03-20,14.141250610351562,14.284091864314625,12.635927418432168,12.833707487257978,198985200
2008-03-24,13.125983238220215,14.877432311745098,12.965561978740263,14.776345080560455,149566400
2008-03-25,13.899518013000488,14.119273238502473,13.145757522464711,13.312771963294027,87092000
2008-03-26,14.055548667907715,14.169822361836973,13.530333639478664,13.785249751790252,43111600
2008-03-27,13.82480239868164,14.226954060221685,13.767666403960552,14.075324081596436,39829600
2008-03-28,13.791841506958008,13.941275169872075,13.659988669469076,13.92589236677503,24675200
2008-03-31,13.703939437866211,13.950065117513429,13.635814999064806,13.756680235783538,22157200
2008-04-01,13.539124488830566,13.994017903575275,13.253442759702484,13.857769849061874,60410800
2008-04-02,13.695146560668945,13.695146560668945,13.29519208886139,13.56329375130591,43836400
2008-04-03,14.393967628479004,14.567574462136552,13.585268311448575,13.613836726198475,100868000
2008-04-04,14.169819831848145,14.3544134445599,14.009397755144251,14.262116638204022,36394400
2008-04-07,14.292886734008789,14.459901252733273,14.06873536055749,14.306071517176477,28301600
2008-04-08,14.963130950927734,14.99609456666105,14.242334154142025,14.26211299422167,53925600
2008-04-09,14.457701683044434,15.101584792239874,14.418145661173726,15.040053575240979,48324400
2008-04-10,14.528018951416016,14.664267802862303,14.308263712915213,14.539007383980822,22372000
2008-04-11,14.528018951416016,14.67305653699485,14.339029312177372,14.339029312177372,26421600
2008-04-14,14.433528900146484,14.776346648951312,14.400565268161412,14.657678579765033,28443600
2008-04-15,14.141250610351562,14.624713187103495,14.06433660486363,14.567576350198356,23888000
2008-04-16,14.534610748291016,14.712611947714503,14.187397083218602,14.187397083218602,25136800
2008-04-17,14.732392311096191,14.888418338991839,14.506044669548992,14.560983482608002,22459600
2008-04-18,15.163117408752441,15.481761959020979,14.767557153536261,14.94556010668358,104099600
2008-04-21,15.596035957336426,15.932261342233756,15.130154056580587,15.268600986785444,58848000
2008-04-22,15.444397926330566,15.910279636515966,15.38286672767577,15.80479638410816,47357600
2008-04-23,15.4004487991333,15.756451242130334,15.314744383108122,15.591634799528135,37319600
2008-04-24,15.888296127319336,16.039926022711015,15.391649077898071,15.646564149770132,38086800
2008-04-25,16.50362205505371,16.718982978410978,16.24211439827681,16.70140215270838,101460000
2008-04-28,16.620088577270508,16.984883088771095,16.459668187301766,16.811276244013527,132517200
2008-04-29,17.773805618286133,17.773805618286133,15.602624156184504,16.294853591391494,197308400
2008-04-30,18.33856964111328,18.63743682885395,17.815552900866614,17.888072514788767,147543600
2008-05-01,18.767099380493164,19.259350689279337,18.437466493282862,18.54514610032368,116395600
2008-05-02,18.184741973876953,19.228579126455994,17.800170391347834,19.182430737744383,136648800
2008-05-05,18.692386627197266,18.78907950267038,17.760624557565475,18.206727580425504,70377200
2008-05-06,19.23518180847168,19.371430702777367,18.62426232152028,18.782486411268835,75913200
2008-05-07,19.44834327697754,19.742814562505107,19.263749637082615,19.52086292547904,100464800
2008-05-08,19.18463706970215,19.723036847833175,18.885769747684996,19.668098026530018,92836400
2008-05-09,18.20891761779785,19.04618446739256,18.134199971353056,18.857194844537172,94312000
2008-05-12,17.997957229614258,18.564926237459467,17.16288651992288,18.38252895812482,147471600
2008-05-13,18.10343360900879,18.349560047958313,17.754023629629653,17.982569249382955,53249600
2008-05-14,18.070480346679688,18.53636054291299,17.899069792099503,18.305618467401214,51400400
2008-05-15,18.07486915588379,18.224302791652946,17.824348307182476,18.136400357094708,36688800
2008-05-16,18.101240158081055,18.206721736924365,17.857311701681628,18.17595613671178,34066800
2008-05-19,18.310007095336914,18.62205914339242,18.05289385897848,18.07926341556941,45473200
2008-05-20,18.18255043029785,18.42428089011595,18.000154831818524,18.2133160337329,40702000
