Date,Close,High,Low,Open,Volume
2009-08-06,1.1373885869979858,1.1887046025846946,1.0938050689001202,1.159883254655372,241978000
2009-08-07,1.1549626588821411,1.1781603209494471,1.1268443009337257,1.135279791558387,24543000
2009-08-10,1.1226263046264648,1.1690216201196961,1.0973197536666475,1.1690216201196961,24210000
2009-08-11,1.1015375852584839,1.1247352439562541,1.089587217826784,1.1233293430229083,23054000
2009-08-12,1.1247352361679077,1.1387944130026195,1.1008345852693149,1.1352796187939416,14513000
2009-08-13,1.163398027420044,1.1753483953335047,1.124735289298233,1.124735289298233,11506000
2009-08-14,1.1669126749038696,1.1950311101613118,1.1423091173779931,1.1598830870393335,6378000
2009-08-17,1.1402007341384888,1.1507451206505759,1.1387948326967443,1.1437155296425179,2544000
2009-08-18,1.1999516487121582,1.2090901285063833,1.1493385556362297,1.1584770354304548,14467000
2009-08-19,1.2575947046279907,1.2611094991533067,1.180972049897205,1.1837839357970446,20708000
2009-08-20,1.2484561204910278,1.26181230508045,1.2154169876026488,1.26181230508045,18821000
2009-08-21,1.2526741027832031,1.2632185716528341,1.2358031201904405,1.2505652928086004,8636000
2009-08-24,1.2301791906356812,1.2547827509845888,1.2161200132934482,1.231585091610043,10216000
2009-08-25,1.2547826766967773,1.2582974708242467,1.2336939119319614,1.2407235001869001,5308000
2009-08-26,1.2547826766967773,1.2547826766967773,1.2055755589122068,1.2435353857684568,7086000
2009-08-27,1.276574730873108,1.2800895258184903,1.2336941990197143,1.2547829686920087,11611000
2009-08-28,1.2983665466308594,1.335623391349168,1.265327405741459,1.2723569959222973,12950000
2009-08-31,1.279386281967163,1.2934454580658188,1.2519708382952046,1.2899306640411548,10048000
2009-09-01,1.2547826766967773,1.2962572976804967,1.190813390057115,1.2829011135158341,13835000
2009-09-02,1.2428321838378906,1.2829008971734839,1.228773009698886,1.2484558702533501,12934000
2009-09-03,1.2266647815704346,1.2632187211805304,1.1950316226150823,1.2632187211805304,36577000
2009-09-04,1.2484561204910278,1.2653270993196983,1.2294761645596426,1.2477531281234564,11586000
2009-09-08,1.2442387342453003,1.2604068097081367,1.2266647573942457,1.248456522209286,5749000
2009-09-09,1.2133078575134277,1.2547824717220708,1.2104960561904943,1.2547824717220708,5512000
2009-09-10,1.198546290397644,1.2273676434513863,1.1915167002673972,1.1957344040659506,4152000
2009-09-11,1.1865956783294678,1.2182289112686078,1.1626951102768728,1.1950312518062025,6203000
2009-09-14,1.170427680015564,1.1880017366470763,1.1465271104834973,1.1697247713818635,16145000
2009-09-15,1.2076846361160278,1.2196349212099586,1.1690218110250268,1.2126053318841976,19869000
2009-09-16,1.2358027696609497,1.247753052591127,1.202763638772584,1.2231494944057564,20211000
2009-09-17,1.1697248220443726,1.2582976824746055,1.1619922401435703,1.2414267013447118,14464000
2009-09-18,1.1387945413589478,1.1964372399177599,1.1373886402768747,1.1648040046748944,8999000
2009-09-21,1.1676156520843506,1.1690215528791859,1.1155966522810763,1.1444179956720322,5530000
2009-09-22,1.212605357170105,1.221040847777057,1.1823781056791542,1.1922194974207119,11141000
2009-09-23,1.2231496572494507,1.2505651045855344,1.2161200682606053,1.2386147362650484,5303000
2009-09-24,1.2294758558273315,1.2547824015149436,1.177456863869303,1.2182285673656135,7788000
2009-09-25,1.2041696310043335,1.2287731893446134,1.2020607378153065,1.2287731893446134,4685000
2009-09-28,1.2407232522964478,1.2547824259973708,1.1971397467841582,1.2175255989300677,2336000
2009-09-29,1.197139859199524,1.2540796353540935,1.1915162562305084,1.2336937812938853,3567000
2009-09-30,1.1999516487121582,1.2182286083006086,1.1922190695479784,1.1950309546073559,5126000
2009-10-01,1.1465270519256592,1.2013578611215505,1.1394974631518093,1.195031264744809,6605000
2009-10-02,1.1310615539550781,1.1500415050518518,1.1177053727677697,1.1387941328314883,6296000
2009-10-05,1.1591805219650269,1.1619923244241803,1.1247354809441248,1.1317650708913307,1889000
2009-10-06,1.1577744483947754,1.2090905516441415,1.1556656386113437,1.1767544068401876,4694000
2009-10-07,1.1338738203048706,1.1676158645163075,1.119111649775082,1.164803978615756,2917000
2009-10-08,1.1254383325576782,1.1373887019010578,1.120517636604161,1.1324679221482226,5573000
2009-10-09,1.1423094272613525,1.1563686068043701,1.120517665449947,1.1233295516381425,8705000
2009-10-12,1.1486358642578125,1.1563684454472125,1.127547097885967,1.140200374468936,12888000
2009-10-13,1.1619924306869507,1.1718339077926232,1.1352799696848825,1.1380917724011719,5573000
2009-10-14,1.1851898431777954,1.1950313181808336,1.1626951748554843,1.183783942120022,6955000
2009-10-15,1.206278681755066,1.261812489114314,1.2020609783324034,1.223149746843666,20920000
2009-10-16,1.1549626588821411,1.2111994585782886,1.139497578770376,1.2111994585782886,12638000
2009-10-19,1.141606330871582,1.1697247711979941,1.1289530536745247,1.1570714940009368,21429000
2009-10-20,1.1619924306869507,1.1760516118670572,1.1437154616330805,1.1486361582862517,4890000
2009-10-21,1.1591805219650269,1.188704782983427,1.1324679796064578,1.150744946988922,2338000
2009-10-22,1.1444182395935059,1.1479330342293859,1.0973199244332612,1.1479330342293859,9834000
2009-10-23,1.1282503604888916,1.1535569197154856,1.1191118761126588,1.1338740496280602,11341000
2009-10-26,1.113487958908081,1.1331708249640475,1.1113790654379219,1.118408654472245,1624000
2009-10-27,1.0860724449157715,1.1240322736571682,1.0727162600878188,1.121220471735275,3288000
2009-10-28,1.0495184659957886,1.089587099127242,1.046706580636119,1.089587099127242,6220000
2009-10-29,1.0572509765625,1.0684983505555234,1.0347563123757495,1.0509243810659847,11833000
2009-10-30,1.0544390678405762,1.0677953335753045,1.0453005878745596,1.061468654922237,2781000
2009-11-02,1.045300841331482,1.0614689122994752,1.0347564581522657,1.0614689122994752,2766000
2009-11-03,1.0185884237289429,1.0417860843153604,1.0150736292097677,1.031944693181395,3637000
2009-11-04,1.0389742851257324,1.072013336938525,1.007341050565368,1.0263210080614489,8053000
2009-11-05,1.07693350315094,1.10645782972131,1.0438944675785364,1.0558447463431158,2741000
2009-11-06,1.0748248100280762,1.102943155460572,1.0453004802845318,1.0769336188960896,2575000
2009-11-09,1.100834846496582,1.1064585353248246,1.0607661159699306,1.0727164861546927,2529000
