Year,Fundamental_Score_FF,Annual_Sentiment_Norm,Fusion_Score_Norm,annual_return,market_up_next
2005,-1.9153287041556823,0.893380102330667,-0.8224342817975233,0.2935160852862442,1
2006,-2.6494362667645595,0.8141750557678216,-1.0006591690548403,0.33549953518147735,1
2007,4.191093082455725,1.0275956118036011,1.582411820503548,0.4264540511533035,0
2008,1.2788266657342908,-0.6211876563603133,-0.4560945737867064,-0.730639654730207,1
2009,-0.17986836112407584,2.290798947057124,-0.30330107499529074,0.5391668121557753,1
2010,0.09372051247224844,0.40690389973324753,-0.12340213774662528,0.1590967355251145,0
2011,0.44256863929484114,-0.30539379800422717,-0.19265308802338432,-0.28636208307970534,1
2012,2.343630615084544,1.7638239077762377,1.513279080899651,0.24181347799293995,1
2013,3.0845051758996336,-0.8006473293875462,-1.1255380958227363,0.057650286058292366,1
2014,2.5102581237775823,-1.1609601771488058,-1.3032516792947821,0.2733574983305669,0
2015,1.1881989209379655,-0.40986778403010565,-0.333257306578707,-0.041613239791578494,1
2016,-0.41290780415011463,0.05340201595277675,-0.14745327501605088,0.027570016692594734,1
2017,-1.227398539061278,-0.18797719973285734,-0.0464406665606452,0.2526637766174584,1
2018,-3.6505366039761435,-0.19244937075860716,0.14210721369501264,0.04010284719740831,1
2019,-2.4246814379245807,-1.5441331263680105,1.3575397221777825,0.10915757081587074,1
2020,-1.8453812802680132,0.130842170767008,-0.2351308510702538,0.13775241206282018,1
2021,-3.3080670438749076,-0.8454867998632205,0.9790601466045314,0.21344802267893925,1
2022,-1.7687585077988115,-0.12105570919602013,-0.053076170084551094,0.026846648866891698,1
2023,-0.17207597138432484,-0.3384479732050661,-0.11536841273294948,0.17747674487603682,1
2024,0.7111263082009229,-0.05111226035155596,-0.15316667610197293,0.08390194323384037,1
2025,1.4281299911646268,0.1120093197372345,-0.0747172506396882,0.05163828539167703,0
