,ls_sharpe,ls_return,ls_maxdd,lo_sharpe,lo_return,lo_maxdd,excess_sharpe,excess_return
Momentum (12-1M),-0.1369156438507832,-0.025717731573712932,-0.40654070284479776,0.877051064041386,0.20712711183514074,-0.3728100057857399,-0.20248074979037456,-0.02209370021274155
Mean Reversion,0.29806501816320174,0.04460508194892921,-0.2018673223861593,1.0108976586340346,0.22611939953926768,-0.3570295466837076,-0.034618645593363834,-0.0031014125086145875
Trend (200-DMA),-0.1326673051071234,-0.025077351184210107,-0.4694337953424635,0.8776661012542342,0.20103124853242552,-0.33579023834926985,-0.25963747201984144,-0.028189563515456737
