Strategy,IC_mean,Rank_IC_mean,ICIR,Rank_ICIR,Ann_Return_Net,Sharpe_Net,Max_Drawdown,Win_Rate,Avg_Turnover
Momentum (12-1M),0.0448,0.0422,0.1653,0.1668,3.78%,0.1065,-161.33%,54.6%,40.28%
Short-Term Reversal,0.0032,0.0052,0.0144,0.0248,2.02%,0.0650,-81.91%,45.4%,80.53%
Mean Reversion (Z-Score),0.0138,0.0140,0.0719,0.0733,-1.56%,-0.0490,-92.52%,46.4%,78.49%
Low Volatility,-0.0524,-0.0411,-0.1859,-0.1608,-16.11%,-0.4346,-102.00%,37.1%,52.03%
Trend (200-DMA),0.0188,0.0193,0.0696,0.0755,2.87%,0.0782,-153.50%,53.6%,52.72%
Combined (Equal Wt),0.0214,0.0208,0.0915,0.0961,0.43%,0.0117,-96.01%,53.6%,67.78%
