Strategy,IC_mean,Rank_IC_mean,ICIR,Rank_ICIR,Ann_Return_Net,Sharpe_Net,Max_Drawdown,Win_Rate,Avg_Turnover
Momentum (12-1M),0.0300,0.0285,0.1184,0.1175,-1.26%,-0.0436,-85.36%,56.0%,24.57%
Short-Term Reversal,0.0150,0.0139,0.0669,0.0681,-3.31%,-0.1039,-91.65%,47.4%,80.09%
Mean Reversion (Z-Score),0.0197,0.0205,0.1022,0.1069,4.47%,0.1445,-70.76%,49.5%,79.29%
Low Volatility,-0.0336,-0.0183,-0.1224,-0.0772,-15.75%,-0.5920,-99.34%,46.0%,27.98%
Trend (200-DMA),-0.0039,0.0031,-0.0146,0.0125,-2.85%,-0.1069,-82.86%,51.9%,31.93%
Combined (Equal Wt),0.0177,0.0196,0.0770,0.0946,2.08%,0.0614,-77.26%,53.6%,64.11%
