Date,Close,High,Low,Open,Volume,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,ret_250d,vol_5d,vol_20d,vol_60d,vol_120d,range_pct,atr_14,sma_20,sma_50,sma_200,price_to_sma20,price_to_sma50,price_to_sma200,drawdown_60d,drawdown_250d,rsi_14,zscore_20,zscore_60,vol_ratio_5_20,vol_change_5d,oc_ratio,hl_ratio
2000-01-03,15.578804969787598,15.997965641620448,15.38086798586653,15.997965641620448,4387600,,,,,,,,,,,0.03961136023916292,,,,,,,,,,,,,,,-0.6792452720117732,
2000-01-04,15.578804969787598,15.671951785750451,15.369224633871172,15.450728097838672,3702400,0.0,,,,,,,,,,0.019431988041853455,,,,,,,,,,,,,,,0.4230769091014024,0.019431988041853455
2000-01-05,15.858232498168944,16.126029375891328,15.474002195349874,15.474002195349874,5567600,0.017936390430668192,,,,,,,,,,0.04111600587371511,,,,,,,,,,,,,,,0.5892857052479646,0.041853478608015714
2000-01-06,16.53354835510254,16.615051762486846,15.893164439940117,15.893164439940117,4353400,0.04258456022835899,,,,,,,,,,0.04366197183098585,,,,,,,,,,,,,,,0.887096761904973,0.04552129770011138
2000-01-07,16.82463264465332,16.929422744170193,16.580122412447285,16.7664159226995,4487400,0.01760567564197113,,,,,,,,,,0.020761245674740598,,,,,,,,,,,,,,,0.16666666189522708,0.021126761432013356
2000-01-10,16.370553970336914,16.77807131668243,16.335623912078727,16.77807131668243,2104800,-0.026988920584884668,0.05082219092444995,,,,,0.025741540025268683,,,,0.02702702702702708,,,,,,,,,,,,,,,-0.921052610761725,0.026297596740949114
2000-01-11,16.219186782836914,16.5568439376842,16.195900082502618,16.370550335009835,2791200,-0.009246308205224651,0.04110596507827302,,,,,0.02696310858847023,,,,0.022254127781765904,,,,,,,,,,,,,,,-0.4193548270913917,0.022048359257457243
2000-01-12,16.160964965820312,16.323971817060578,15.997958114580053,16.21918169840612,2992600,-0.003589687805939268,0.019089924913531453,,,,,0.02677329475023419,,,,0.020172910662824204,,,,,,,,,,,,,,,-0.17857142309400992,0.02010049621140756
2000-01-13,16.31232261657715,16.626692859723175,16.04452574278609,16.11438579681854,3253400,0.00936563200755347,-0.013380415006746915,,,,,0.017258430790692544,,,,0.0356887937187723,,,,,,,,,,,,,,,0.3399999941597536,0.03602304182753581
2000-01-14,16.207538604736328,16.289042031627964,15.939741630663818,15.986315017459036,3673000,-0.006423610806614133,-0.03667800973432234,,,,,0.013073734665903336,,,,0.02155172413793114,,,,,,,,,,,,,,-0.34150872950965405,0.6333333152018505,0.02141328424985756
