Date,Close,High,Low,Open,Volume,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,ret_250d,vol_5d,vol_20d,vol_60d,vol_120d,range_pct,atr_14,sma_20,sma_50,sma_200,price_to_sma20,price_to_sma50,price_to_sma200,drawdown_60d,drawdown_250d,rsi_14,zscore_20,zscore_60,vol_ratio_5_20,vol_change_5d,oc_ratio,hl_ratio
2004-08-19,2.4904274940490723,2.5827575427166254,2.381716151343207,2.481989269010716,893181924,,,,,,,,,,,0.08072565527557463,,,,,,,,,,,,,,,0.041972573712232536,
2004-08-20,2.688241481781006,2.7073534634239085,2.494398543747014,2.5070569447332045,456686856,0.07942973172461931,,,,,,,,,,0.07921718384310038,,,,,,,,,,,,,,,0.8508116591745647,0.08550938350373768
2004-08-23,2.715296030044556,2.816561117492243,2.706609044455478,2.7488032447043778,365122512,0.010064031987790933,,,,,,,,,,0.04049358590008365,,,,,,,,,,,,,,,-0.30474379142610364,0.04090111464388245
2004-08-24,2.602861166000366,2.769899708769402,2.570595863258309,2.760964436288738,304946748,-0.04140795802745123,,,,,,,,,,0.07657106268842966,,,,,,,,,,,,,,,-0.7932775303464806,0.07340041133850983
2004-08-25,2.630908489227295,2.680548236350195,2.5782904755091205,2.605095820723387,183772044,0.010775574046474112,,,,,,,,,,0.038867851641281446,,,,,,,,,,,,,,,0.2524274516410605,0.03928667505466944
2004-08-26,2.6783134937286377,2.679306406845387,2.5976491753725157,2.6048466722640646,141897960,0.018018492355568627,0.07544327234120352,,,,,0.042964119117222165,,,,0.03048830230817811,,,,,,,,,,,,,,,0.8996975667979257,0.031037655550252286
2004-08-27,2.6346306800842285,2.6959361522189136,2.623214188488324,2.6830296996962115,124235640,-0.01630982099246181,-0.019942703086799796,,,,,0.024756592762159354,,,,0.027602336934854445,,,,,,,,,,,,,,,-0.665535011347259,0.027152147760473352
2004-08-30,2.531876802444458,2.6182498358999844,2.531876802444458,2.613037928975517,103935960,-0.03900124538004901,-0.06755036120208535,,,,,0.027476105387222442,,,,0.034114232324469966,,,,,,,,,,,,,,,-0.9396580609417657,0.03278373477863131
2004-08-31,2.5408122539520264,2.574070472960486,2.5356003461739887,2.539074714895132,98357544,0.0035291810008060143,-0.023838732875517188,,,,,0.023101155918804874,,,,0.01514087738149892,,,,,,,,,,,,,,,0.04516591834693986,0.015194312278289239
2004-09-01,2.488193988800049,2.5557040427258784,2.47379804878294,2.549002411056613,182765052,-0.02070922992052404,-0.05424533046725688,,,,,0.022133952772190817,,,,0.03291784897464459,,,,,,,,,,,,,,-0.704501893997777,-0.7424171529467798,0.03223614567173959
2004-09-02,2.5194668769836426,2.5408122653657093,2.4556799451219,2.461884766169496,302373324,0.012568508855965499,-0.0593084480651499,,,,,0.02042215945289542,,,,0.033789815226994216,,,,,,,,,,,,,,-0.4411643326822021,0.6763835859918089,0.03421450281891614
2004-09-03,2.4822373390197754,2.525175454954516,2.4651109461503293,2.505567606733172,103048848,-0.014776752297866791,-0.057842392186665426,,,,,0.0203523749439115,,,,0.024197729951119688,,,,,,,,,,,,,,-0.29419782070402545,-0.3884201218602006,0.023840166089461323
